day,stop_order,customer_id,customer_name,arrival_time,service_start_time,service_end_time,selected_window_start,selected_window_end,travel_from_previous_min,waiting_min,distance_from_previous_km
1,1,C110,Khach_Hang_110,00:17,07:22,07:32,07:22,16:08,17,425,13.610902
1,2,C179,Khach_Hang_179,07:34,07:34,07:39,07:21,15:28,2,0,1.376275
1,3,C107,Khach_Hang_107,07:40,07:40,07:47,07:12,16:03,1,0,0.404882
1,4,C216,Khach_Hang_216,07:49,07:49,07:56,07:11,16:38,2,0,1.621051
1,5,C135,Khach_Hang_135,07:57,07:57,08:07,07:55,16:23,1,0,0.158422
1,6,C144,Khach_Hang_144,08:08,08:08,08:15,07:59,16:17,1,0,0.709949
1,7,C143,Khach_Hang_143,08:16,08:30,08:37,08:30,11:30,1,14,0.722240
1,8,C005,Khach_Hang_005,08:38,08:38,08:45,07:54,15:21,1,0,0.462747
1,9,C247,Khach_Hang_247,08:48,08:48,08:53,08:30,11:30,3,0,2.480948
1,10,C154,Khach_Hang_154,08:57,08:57,09:02,08:30,11:30,4,0,3.302869
1,11,C115,Khach_Hang_115,09:05,09:05,09:10,08:30,11:30,3,0,2.282659
1,12,C236,Khach_Hang_236,09:11,09:11,09:16,08:30,11:30,1,0,0.436774
1,13,C059,Khach_Hang_059,09:17,09:17,09:24,08:30,11:30,1,0,0.531145
1,14,C030,Khach_Hang_030,09:25,09:25,09:32,08:30,11:30,1,0,0.582071
1,15,C158,Khach_Hang_158,09:34,09:34,09:41,08:30,11:30,2,0,1.652612
1,16,C166,Khach_Hang_166,09:43,09:43,09:48,08:30,11:30,2,0,1.171639
1,17,C283,Khach_Hang_283,10:03,10:03,10:08,08:30,11:30,15,0,12.048049
1,18,C255,Khach_Hang_255,10:10,10:10,10:15,08:30,11:30,2,0,1.120771
1,19,C025,Khach_Hang_025,10:16,10:16,10:21,08:01,17:08,1,0,0.269722
1,20,C006,Khach_Hang_006,10:24,10:24,10:31,08:30,11:30,3,0,1.740644
1,21,C241,Khach_Hang_241,10:34,10:34,10:39,08:30,11:30,3,0,2.449085
1,22,C052,Khach_Hang_052,10:40,10:40,10:45,09:21,17:47,1,0,0.237733
1,23,C032,Khach_Hang_032,10:47,10:47,10:57,08:52,18:41,2,0,0.958747
1,24,C260,Khach_Hang_260,10:59,10:59,11:06,08:30,11:30,2,0,1.653674
1,25,C254,Khach_Hang_254,11:08,11:08,11:15,07:54,15:56,2,0,1.193671
1,26,C098,Khach_Hang_098,11:17,11:17,11:24,08:30,11:30,2,0,1.598761
1,27,C010,Khach_Hang_010,11:25,11:25,11:30,08:30,11:30,1,0,0.739748
1,28,C022,Khach_Hang_022,11:31,11:31,11:41,07:36,14:50,1,0,0.557458
1,29,C178,Khach_Hang_178,11:48,11:48,11:58,07:23,15:06,7,0,5.755535
1,30,C187,Khach_Hang_187,12:11,12:11,12:21,08:03,17:05,13,0,10.140731
1,31,C206,Khach_Hang_206,12:23,12:23,12:30,08:54,17:27,2,0,1.413286
1,32,C106,Khach_Hang_106,12:57,12:57,13:04,07:20,14:48,27,0,22.381136
1,33,C184,Khach_Hang_184,13:08,13:08,13:15,09:56,19:01,4,0,2.600704
1,34,C288,Khach_Hang_288,13:21,13:21,13:31,09:08,18:00,6,0,4.481604
1,35,C057,Khach_Hang_057,13:34,13:34,13:39,13:30,17:00,3,0,2.354440
1,36,C055,Khach_Hang_055,13:48,13:48,13:53,13:30,17:00,9,0,7.193542
1,37,C017,Khach_Hang_017,13:54,13:54,14:04,07:57,14:04,1,0,0.178321
1,38,C224,Khach_Hang_224,14:05,14:05,14:15,09:52,16:26,1,0,0.231463
1,39,C218,Khach_Hang_218,14:16,14:16,14:23,13:30,17:00,1,0,0.733176
1,40,C294,Khach_Hang_294,14:24,14:24,14:31,13:30,17:00,1,0,0.209773
1,41,C053,Khach_Hang_053,14:32,14:32,14:39,13:30,17:00,1,0,0.545959
1,42,C134,Khach_Hang_134,14:40,14:40,14:50,13:30,17:00,1,0,0.524401
1,43,C182,Khach_Hang_182,14:51,14:51,14:58,07:45,17:42,1,0,0.478985
1,44,C276,Khach_Hang_276,14:59,14:59,15:04,13:30,17:00,1,0,0.572471
1,45,C297,Khach_Hang_297,15:06,15:06,15:13,13:30,17:00,2,0,1.476715
1,46,C122,Khach_Hang_122,15:15,15:15,15:20,13:30,17:00,2,0,0.937365
1,47,C194,Khach_Hang_194,15:21,15:21,15:26,13:30,17:00,1,0,0.528612
1,48,C205,Khach_Hang_205,15:27,15:27,15:34,09:52,17:59,1,0,0.693376
1,49,C204,Khach_Hang_204,15:35,15:35,15:45,13:30,17:00,1,0,0.660060
1,50,C071,Khach_Hang_071,15:47,15:47,15:57,13:30,17:00,2,0,0.951409
1,51,C112,Khach_Hang_112,15:58,15:58,16:08,09:25,17:59,1,0,0.287945
1,52,C214,Khach_Hang_214,16:10,16:10,16:20,13:30,17:00,2,0,0.960023
1,53,C061,Khach_Hang_061,16:21,16:21,16:26,13:30,17:00,1,0,0.725594
1,54,C056,Khach_Hang_056,16:28,16:28,16:35,13:30,17:00,2,0,1.033897
1,55,C016,Khach_Hang_016,16:47,16:47,16:57,13:30,17:00,12,0,9.891708
