day,stop_order,customer_id,customer_name,arrival_time,service_start_time,service_end_time,selected_window_start,selected_window_end,travel_from_previous_min,waiting_min,distance_from_previous_km
1,1,C016,Khach_Hang_016,11:20,11:20,11:30,08:30,11:30,18,0,14.190595
1,2,C038,Khach_Hang_038,11:48,13:30,13:40,13:30,17:00,18,102,14.798104
1,3,C032,Khach_Hang_032,13:41,13:41,13:51,08:52,18:41,1,0,0.756122
1,4,C006,Khach_Hang_006,13:55,13:55,14:02,13:30,17:00,4,0,3.311745
1,5,C010,Khach_Hang_010,14:04,14:04,14:09,13:30,17:00,2,0,1.522927
1,6,C022,Khach_Hang_022,14:10,14:10,14:20,07:36,14:50,1,0,0.557458
1,7,C025,Khach_Hang_025,14:22,14:22,14:27,08:01,17:08,2,0,1.450581
1,8,C030,Khach_Hang_030,14:47,14:47,14:54,13:30,17:00,20,0,15.854915
1,9,C005,Khach_Hang_005,14:57,14:57,15:04,07:54,15:21,3,0,1.961106
1,10,C014,Khach_Hang_014,15:05,18:30,18:40,18:30,21:30,1,205,0.684233
1,11,C037,Khach_Hang_037,18:43,18:43,18:53,18:30,21:30,3,0,2.242849
1,12,C027,Khach_Hang_027,19:28,19:28,19:38,18:30,21:30,35,0,29.158706
1,13,C019,Khach_Hang_019,19:40,19:40,19:50,18:30,21:30,2,0,1.250614
1,14,C040,Khach_Hang_040,19:52,19:52,20:02,18:30,21:30,2,0,0.897678
1,15,C012,Khach_Hang_012,20:05,20:05,20:15,18:30,21:30,3,0,1.955808
1,16,C031,Khach_Hang_031,20:20,20:20,20:25,18:30,21:30,5,0,3.808250
1,17,C009,Khach_Hang_009,20:29,20:29,20:39,18:30,21:30,4,0,2.531785
2,1,C008,Khach_Hang_008,10:46,10:46,10:56,08:30,11:30,7,0,5.825003
2,2,C015,Khach_Hang_015,11:15,11:15,11:20,08:51,15:14,19,0,15.156084
2,3,C002,Khach_Hang_002,11:25,11:25,11:30,08:30,11:30,5,0,3.495436
2,4,C003,Khach_Hang_003,11:34,11:34,11:41,07:21,14:40,4,0,3.109371
2,5,C017,Khach_Hang_017,11:42,11:42,11:52,08:21,18:19,1,0,0.618539
2,6,C033,Khach_Hang_033,11:53,11:53,12:03,07:46,16:05,1,0,0.399234
2,7,C013,Khach_Hang_013,12:06,12:06,12:16,07:13,15:57,3,0,2.305337
2,8,C039,Khach_Hang_039,12:45,14:32,14:37,13:30,17:00,29,107,23.740595
2,9,C021,Khach_Hang_021,14:43,14:43,14:48,08:17,14:48,6,0,4.641953
2,10,C007,Khach_Hang_007,14:49,18:30,18:40,18:30,21:30,1,221,0.090963
2,11,C020,Khach_Hang_020,18:42,18:42,18:47,18:30,21:30,2,0,1.450725
2,12,C018,Khach_Hang_018,18:54,18:54,19:04,18:30,21:30,7,0,5.347443
2,13,C028,Khach_Hang_028,19:12,19:12,19:17,18:30,21:30,8,0,6.517963
2,14,C001,Khach_Hang_001,19:29,19:29,19:34,18:30,21:30,12,0,9.562355
3,1,C034,Khach_Hang_034,16:55,16:55,17:00,13:30,17:00,18,0,14.191432
3,2,C029,Khach_Hang_029,17:14,18:30,18:37,18:30,21:30,14,76,11.508681
3,3,C023,Khach_Hang_023,18:52,18:52,18:57,18:30,21:30,15,0,12.056177
3,4,C035,Khach_Hang_035,19:00,19:00,19:07,18:30,21:30,3,0,2.107957
3,5,C011,Khach_Hang_011,19:10,19:10,19:15,18:30,21:30,3,0,2.041514
6,1,C004,Khach_Hang_004,08:00,08:00,08:05,08:00,21:00,25,0,20.546036
6,2,C036,Khach_Hang_036,08:25,08:25,08:30,08:00,21:00,20,0,16.118853
6,3,C024,Khach_Hang_024,08:43,08:43,08:50,07:05,14:44,13,0,10.132092
6,4,C026,Khach_Hang_026,08:53,08:53,09:00,08:00,21:00,3,0,2.193794
