customer_id,customer_name,demand_kg,available_days
C041,Khach_Hang_041,3.1,3 5
C042,Khach_Hang_042,2.4,1 2 3 5 7
C043,Khach_Hang_043,0.7,1 3 4 6 7
C044,Khach_Hang_044,3.8,3 4 5 6
C045,Khach_Hang_045,2.5,1 3 4 5 7
C046,Khach_Hang_046,4.4,2 3 4
C047,Khach_Hang_047,3.4,1 2 5 6 7
C048,Khach_Hang_048,1.2,1 4
C049,Khach_Hang_049,4.6,1 3 6 7
C050,Khach_Hang_050,1.7,2 3 6 7
C051,Khach_Hang_051,5.0,1 2 6
C052,Khach_Hang_052,1.4,1 3 4 7
C053,Khach_Hang_053,0.8,1 3
C054,Khach_Hang_054,2.8,2 4 5
C055,Khach_Hang_055,0.9,1 2 4 5
C056,Khach_Hang_056,4.4,1 3 4
C057,Khach_Hang_057,0.7,1 2 4 5
C058,Khach_Hang_058,2.9,1 7
C059,Khach_Hang_059,1.6,1 2 3 4
C060,Khach_Hang_060,2.6,2 3 4
C061,Khach_Hang_061,5.0,1 3 5
C062,Khach_Hang_062,1.1,1 2 3 6
C063,Khach_Hang_063,4.3,1 2 4 5
C064,Khach_Hang_064,2.9,1 7
C065,Khach_Hang_065,1.0,1 6
C066,Khach_Hang_066,3.8,2 4 5 6
C067,Khach_Hang_067,3.7,4 6
C068,Khach_Hang_068,2.8,2 3 4 6 7
C069,Khach_Hang_069,4.2,2 3 4
C070,Khach_Hang_070,3.4,3 5
C071,Khach_Hang_071,3.7,1 2 3 4
C072,Khach_Hang_072,4.6,1 2 4 5
C073,Khach_Hang_073,1.1,1 2 3
C074,Khach_Hang_074,4.5,1 2 6
C075,Khach_Hang_075,2.1,1 2 4 5 7
C076,Khach_Hang_076,1.6,1 2 3 4 5
C077,Khach_Hang_077,2.0,1 2 4 5
C078,Khach_Hang_078,4.0,1 3 4
C079,Khach_Hang_079,4.2,1 7
C080,Khach_Hang_080,1.5,2 3 4 6 7
C081,Khach_Hang_081,4.4,1 4
C082,Khach_Hang_082,3.6,3 5 7
C083,Khach_Hang_083,1.3,4 5
