day,stop_order,customer_id,customer_name,arrival_time,service_start_time,service_end_time,selected_window_start,selected_window_end,travel_from_previous_min,waiting_min,distance_from_previous_km
1,1,C030,Khach_Hang_030,10:21,10:21,10:28,08:30,11:30,19,0,15.371889
1,2,C216,Khach_Hang_216,10:31,10:31,10:38,07:11,16:38,3,0,1.922167
1,3,C025,Khach_Hang_025,11:00,11:00,11:05,08:01,17:08,22,0,17.537134
1,4,C006,Khach_Hang_006,11:08,11:08,11:15,08:30,11:30,3,0,1.740644
1,5,C038,Khach_Hang_038,11:20,11:20,11:30,08:30,11:30,5,0,3.550040
1,6,C010,Khach_Hang_010,11:35,13:30,13:35,13:30,17:00,5,115,3.453647
1,7,C032,Khach_Hang_032,13:40,13:40,13:50,08:52,18:41,5,0,3.545712
1,8,C075,Khach_Hang_075,13:53,13:53,14:03,08:23,18:22,3,0,2.097888
1,9,C078,Khach_Hang_078,14:15,14:15,14:20,09:32,19:17,12,0,9.393141
1,10,C016,Khach_Hang_016,14:27,14:27,14:37,13:30,17:00,7,0,5.589669
1,11,C056,Khach_Hang_056,14:49,14:49,14:56,13:30,17:00,12,0,9.891708
1,12,C055,Khach_Hang_055,14:59,14:59,15:04,13:30,17:00,3,0,1.844388
1,13,C033,Khach_Hang_033,15:05,15:05,15:15,09:34,19:04,1,0,0.230791
1,14,C284,Khach_Hang_284,15:18,15:18,15:28,07:26,17:14,3,0,1.712025
1,15,C249,Khach_Hang_249,15:29,15:29,15:39,08:49,18:20,1,0,0.732402
1,16,C182,Khach_Hang_182,15:40,15:40,15:47,07:45,17:42,1,0,0.759641
1,17,C053,Khach_Hang_053,15:48,15:48,15:55,13:30,17:00,1,0,0.533560
1,18,C222,Khach_Hang_222,16:10,16:10,16:17,09:51,19:31,15,0,12.040243
1,19,C048,Khach_Hang_048,16:21,16:21,16:28,13:30,17:00,4,0,2.584135
1,20,C117,Khach_Hang_117,16:35,16:35,16:42,13:30,17:00,7,0,5.495415
1,21,C296,Khach_Hang_296,16:47,16:47,16:57,13:30,17:00,5,0,3.659252
1,22,C184,Khach_Hang_184,17:20,17:20,17:27,09:56,19:01,23,0,18.704837
1,23,C266,Khach_Hang_266,17:51,17:51,17:58,09:15,19:02,24,0,19.688966
1,24,C180,Khach_Hang_180,18:18,18:30,18:40,18:30,21:30,20,12,16.225967
1,25,C014,Khach_Hang_014,18:43,18:43,18:53,18:30,21:30,3,0,1.790690
1,26,C270,Khach_Hang_270,18:55,18:55,19:05,18:30,21:30,2,0,1.429136
1,27,C085,Khach_Hang_085,19:39,19:39,19:49,18:30,21:30,34,0,27.702474
1,28,C257,Khach_Hang_257,19:51,19:51,19:58,18:30,21:30,2,0,1.643800
1,29,C088,Khach_Hang_088,20:00,20:00,20:10,18:30,21:30,2,0,1.554755
1,30,C233,Khach_Hang_233,20:11,20:11,20:21,18:30,21:30,1,0,0.600984
1,31,C064,Khach_Hang_064,20:25,20:25,20:35,18:30,21:30,4,0,3.112766
1,32,C058,Khach_Hang_058,20:39,20:39,20:46,18:30,21:30,4,0,2.658420
1,33,C065,Khach_Hang_065,20:47,20:47,20:52,18:30,21:30,1,0,0.526863
1,34,C040,Khach_Hang_040,20:54,20:54,21:04,18:30,21:30,2,0,0.906241
1,35,C019,Khach_Hang_019,21:06,21:06,21:16,18:30,21:30,2,0,0.897678
2,1,C017,Khach_Hang_017,09:58,09:58,10:08,08:21,18:19,15,0,11.756463
2,2,C013,Khach_Hang_013,10:11,10:11,10:21,07:13,15:57,3,0,2.088740
2,3,C112,Khach_Hang_112,10:23,10:23,10:33,07:27,17:24,2,0,1.284899
2,4,C002,Khach_Hang_002,10:38,10:38,10:43,08:30,11:30,5,0,3.709783
2,5,C057,Khach_Hang_057,10:56,10:56,11:01,08:30,11:30,13,0,10.669414
2,6,C140,Khach_Hang_140,11:05,11:05,11:10,07:57,17:30,4,0,2.661686
2,7,C008,Khach_Hang_008,11:20,11:20,11:30,08:30,11:30,10,0,8.028952
2,8,C100,Khach_Hang_100,11:49,11:49,11:54,07:15,16:15,19,0,15.182585
2,9,C300,Khach_Hang_300,12:10,12:10,12:20,09:59,19:48,16,0,12.713516
2,10,C161,Khach_Hang_161,12:23,12:23,12:28,07:11,15:35,3,0,2.430450
2,11,C046,Khach_Hang_046,12:33,13:30,13:35,13:30,17:00,5,57,3.452857
2,12,C021,Khach_Hang_021,13:36,13:36,13:41,08:17,14:48,1,0,0.200357
2,13,C183,Khach_Hang_183,13:44,13:44,13:49,13:30,17:00,3,0,1.989728
2,14,C238,Khach_Hang_238,13:52,13:52,14:02,13:30,17:00,3,0,1.937262
2,15,C039,Khach_Hang_039,14:03,14:03,14:08,13:30,17:00,1,0,0.804201
2,16,C151,Khach_Hang_151,14:10,14:10,14:20,13:30,17:00,2,0,0.987034
2,17,C160,Khach_Hang_160,14:21,14:21,14:28,09:16,18:02,1,0,0.174977
2,18,C215,Khach_Hang_215,14:31,14:31,14:41,08:56,18:16,3,0,1.688304
2,19,C126,Khach_Hang_126,14:44,14:44,14:49,08:56,18:07,3,0,1.880155
2,20,C063,Khach_Hang_063,15:07,15:07,15:17,13:30,17:00,18,0,14.359119
2,21,C054,Khach_Hang_054,15:25,15:25,15:35,13:30,17:00,8,0,5.853471
