day,stop_order,customer_id,customer_name,arrival_time,service_start_time,service_end_time,selected_window_start,selected_window_end,travel_from_previous_min,waiting_min,distance_from_previous_km
1,1,C057,Khach_Hang_057,00:06,08:30,08:35,08:30,11:30,6,504,4.514781
1,2,C055,Khach_Hang_055,08:44,08:44,08:49,08:30,11:30,9,0,7.193542
1,3,C053,Khach_Hang_053,08:51,08:51,08:58,08:30,11:30,2,0,1.341708
1,4,C134,Khach_Hang_134,08:59,08:59,09:09,08:30,11:30,1,0,0.524401
1,5,C276,Khach_Hang_276,09:10,09:10,09:15,08:30,11:30,1,0,0.100127
1,6,C122,Khach_Hang_122,09:17,09:17,09:22,08:30,11:30,2,0,0.902433
1,7,C194,Khach_Hang_194,09:23,09:23,09:28,08:30,11:30,1,0,0.528612
1,8,C061,Khach_Hang_061,09:30,09:30,09:35,08:30,11:30,2,0,1.530641
1,9,C214,Khach_Hang_214,09:36,09:36,09:46,08:30,11:30,1,0,0.725594
1,10,C056,Khach_Hang_056,09:48,09:48,09:55,08:30,11:30,2,0,1.453507
1,11,C071,Khach_Hang_071,09:58,09:58,10:08,08:30,11:30,3,0,2.156199
1,12,C072,Khach_Hang_072,10:10,10:10,10:20,08:30,11:30,2,0,1.277700
1,13,C204,Khach_Hang_204,10:23,10:23,10:33,08:30,11:30,3,0,2.084062
1,14,C294,Khach_Hang_294,10:36,10:36,10:43,08:30,11:30,3,0,2.447488
1,15,C218,Khach_Hang_218,10:44,10:44,10:51,08:30,11:30,1,0,0.209773
1,16,C297,Khach_Hang_297,10:55,10:55,11:02,08:30,11:30,4,0,2.528652
1,17,C171,Khach_Hang_171,11:10,11:10,11:20,08:30,11:30,8,0,6.382691
1,18,C016,Khach_Hang_016,11:29,11:29,11:39,08:30,11:30,9,0,7.362717
1,19,C251,Khach_Hang_251,11:52,11:52,12:02,07:04,13:35,13,0,10.774677
1,20,C017,Khach_Hang_017,12:06,12:06,12:16,07:57,14:04,4,0,2.985242
1,21,C106,Khach_Hang_106,12:31,12:31,12:38,07:20,14:48,15,0,12.281667
1,22,C022,Khach_Hang_022,13:15,13:15,13:25,07:36,14:50,37,0,30.536422
1,23,C178,Khach_Hang_178,13:32,13:32,13:42,07:23,15:06,7,0,5.755535
1,24,C005,Khach_Hang_005,13:57,13:57,14:04,07:54,15:21,15,0,12.036967
1,25,C148,Khach_Hang_148,14:35,14:35,14:45,08:44,15:22,31,0,25.627685
1,26,C179,Khach_Hang_179,15:16,15:16,15:21,07:21,15:28,31,0,25.207380
1,27,C215,Khach_Hang_215,15:46,15:46,15:56,08:19,15:46,25,0,20.394353
1,28,C135,Khach_Hang_135,16:21,16:21,16:31,07:55,16:23,25,0,20.786674
1,29,C216,Khach_Hang_216,16:32,16:32,16:39,07:11,16:38,1,0,0.158422
1,30,C150,Khach_Hang_150,16:40,16:40,16:50,13:30,17:00,1,0,0.326680
1,31,C152,Khach_Hang_152,16:51,16:51,16:56,13:30,17:00,1,0,0.762188
1,32,C243,Khach_Hang_243,16:57,16:57,17:04,13:30,17:00,1,0,0.729937
1,33,C206,Khach_Hang_206,17:07,17:07,17:14,08:54,17:27,3,0,2.431594
1,34,C052,Khach_Hang_052,17:38,17:38,17:43,09:21,17:47,24,0,19.605014
1,35,C249,Khach_Hang_249,18:16,18:16,18:26,08:49,18:20,33,0,27.369036
1,36,C184,Khach_Hang_184,18:37,18:37,18:44,09:56,19:01,11,0,9.145276
1,37,C033,Khach_Hang_033,18:56,18:56,19:06,09:34,19:04,12,0,9.446265
1,38,C222,Khach_Hang_222,19:22,19:22,19:29,09:51,19:31,16,0,13.037896
1,39,C074,Khach_Hang_074,19:39,19:39,19:44,18:30,21:30,10,0,7.969772
1,40,C076,Khach_Hang_076,19:49,19:49,19:54,18:30,21:30,5,0,3.409546
1,41,C133,Khach_Hang_133,20:02,20:02,20:09,18:30,21:30,8,0,6.479894
1,42,C085,Khach_Hang_085,20:15,20:15,20:25,18:30,21:30,6,0,4.895781
1,43,C031,Khach_Hang_031,20:27,20:27,20:32,18:30,21:30,2,0,1.517348
1,44,C114,Khach_Hang_114,20:33,20:33,20:43,18:30,21:30,1,0,0.773817
1,45,C257,Khach_Hang_257,20:44,20:44,20:51,18:30,21:30,1,0,0.404202
1,46,C043,Khach_Hang_043,20:53,20:53,21:03,18:30,21:30,2,0,1.622617
1,47,C088,Khach_Hang_088,21:04,21:04,21:14,18:30,21:30,1,0,0.595223
1,48,C233,Khach_Hang_233,21:15,21:15,21:25,18:30,21:30,1,0,0.600984
1,49,C058,Khach_Hang_058,21:28,21:28,21:35,18:30,21:30,3,0,2.016639
2,1,C008,Khach_Hang_008,00:07,08:30,08:40,08:30,11:30,7,503,5.825003
