day,stop_order,customer_id,customer_name,arrival_time,service_start_time,service_end_time,selected_window_start,selected_window_end,travel_from_previous_min,waiting_min,distance_from_previous_km
1,1,C178,Khach_Hang_178,07:23,07:23,07:33,07:23,15:06,23,0,18.604401
1,2,C056,Khach_Hang_056,08:05,08:30,08:37,08:30,11:30,32,25,26.273555
1,3,C061,Khach_Hang_061,08:39,08:39,08:44,08:30,11:30,2,0,1.033897
1,4,C214,Khach_Hang_214,08:45,08:45,08:55,08:30,11:30,1,0,0.725594
1,5,C218,Khach_Hang_218,08:58,08:58,09:05,08:30,11:30,3,0,2.075647
1,6,C053,Khach_Hang_053,09:06,09:06,09:13,08:30,11:30,1,0,0.644219
1,7,C134,Khach_Hang_134,09:14,09:14,09:24,08:30,11:30,1,0,0.524401
1,8,C276,Khach_Hang_276,09:25,09:25,09:30,08:30,11:30,1,0,0.100127
1,9,C122,Khach_Hang_122,09:32,09:32,09:37,08:30,11:30,2,0,0.902433
1,10,C296,Khach_Hang_296,09:53,09:53,10:03,08:30,11:30,16,0,12.813069
1,11,C117,Khach_Hang_117,10:08,10:08,10:15,08:30,11:30,5,0,3.659252
1,12,C048,Khach_Hang_048,10:22,10:22,10:29,08:30,11:30,7,0,5.495415
1,13,C251,Khach_Hang_251,10:42,10:42,10:52,07:04,13:35,13,0,10.205735
1,14,C171,Khach_Hang_171,10:58,10:58,11:08,08:30,11:30,6,0,4.267835
1,15,C016,Khach_Hang_016,11:17,11:17,11:27,08:30,11:30,9,0,7.362717
1,16,C078,Khach_Hang_078,11:34,11:34,11:39,09:32,19:17,7,0,5.589669
1,17,C288,Khach_Hang_288,12:02,12:02,12:12,09:08,18:00,23,0,18.835385
1,18,C179,Khach_Hang_179,12:38,12:38,12:43,07:21,15:28,26,0,20.868058
1,19,C107,Khach_Hang_107,12:44,12:44,12:51,07:12,16:03,1,0,0.404882
1,20,C216,Khach_Hang_216,12:53,12:53,13:00,07:11,16:38,2,0,1.621051
