day,stop_order,customer_id,customer_name,arrival_time,service_start_time,service_end_time,selected_window_start,selected_window_end,travel_from_previous_min,waiting_min,distance_from_previous_km
1,1,C169,Khach_Hang_169,18:30,18:30,18:35,18:30,21:30,1,0,0.258754
1,2,C189,Khach_Hang_189,18:38,18:38,18:48,18:30,21:30,3,0,2.433033
1,3,C188,Khach_Hang_188,19:01,19:01,19:11,18:30,21:30,13,0,10.618625
1,4,C270,Khach_Hang_270,19:14,19:14,19:24,18:30,21:30,3,0,1.788370
1,5,C062,Khach_Hang_062,19:26,19:26,19:33,18:30,21:30,2,0,0.896435
1,6,C234,Khach_Hang_234,19:34,19:34,19:39,18:30,21:30,1,0,0.087778
1,7,C049,Khach_Hang_049,19:40,19:40,19:45,18:30,21:30,1,0,0.197811
1,8,C014,Khach_Hang_014,19:46,19:46,19:56,18:30,21:30,1,0,0.664234
1,9,C125,Khach_Hang_125,19:58,19:58,20:08,18:30,21:30,2,0,1.661560
1,10,C108,Khach_Hang_108,20:09,20:09,20:16,18:30,21:30,1,0,0.436720
1,11,C210,Khach_Hang_210,20:17,20:17,20:27,18:30,21:30,1,0,0.657777
1,12,C202,Khach_Hang_202,20:28,20:28,20:35,18:30,21:30,1,0,0.443005
1,13,C132,Khach_Hang_132,20:36,20:36,20:41,18:30,21:30,1,0,0.331592
1,14,C209,Khach_Hang_209,20:42,20:42,20:47,18:30,21:30,1,0,0.404937
1,15,C267,Khach_Hang_267,20:49,20:49,20:59,18:30,21:30,2,0,1.241291
1,16,C197,Khach_Hang_197,21:02,21:02,21:09,18:30,21:30,3,0,1.748259
1,17,C180,Khach_Hang_180,21:10,21:10,21:20,18:30,21:30,1,0,0.791720
1,18,C142,Khach_Hang_142,21:21,21:21,21:26,18:30,21:30,1,0,0.796201
2,1,C140,Khach_Hang_140,07:57,07:57,08:02,07:57,17:30,4,0,2.578610
2,2,C057,Khach_Hang_057,08:06,08:30,08:35,08:30,11:30,4,24,2.661686
2,3,C009,Khach_Hang_009,08:42,18:30,18:40,18:30,21:30,7,588,5.552739
2,4,C280,Khach_Hang_280,18:41,18:41,18:46,18:30,21:30,1,0,0.790520
2,5,C051,Khach_Hang_051,18:48,18:48,18:58,18:30,21:30,2,0,1.648185
2,6,C035,Khach_Hang_035,18:59,18:59,19:06,18:30,21:30,1,0,0.738338
2,7,C181,Khach_Hang_181,19:07,19:07,19:12,18:30,21:30,1,0,0.659005
2,8,C146,Khach_Hang_146,19:13,19:13,19:18,18:30,21:30,1,0,0.490454
2,9,C170,Khach_Hang_170,19:19,19:19,19:24,18:30,21:30,1,0,0.268525
2,10,C040,Khach_Hang_040,19:25,19:25,19:35,18:30,21:30,1,0,0.280379
2,11,C211,Khach_Hang_211,19:36,19:36,19:41,18:30,21:30,1,0,0.737783
2,12,C286,Khach_Hang_286,19:43,19:43,19:53,18:30,21:30,2,0,0.874803
2,13,C011,Khach_Hang_011,19:55,19:55,20:00,18:30,21:30,2,0,0.857861
2,14,C027,Khach_Hang_027,20:03,20:03,20:13,18:30,21:30,3,0,2.160294
2,15,C087,Khach_Hang_087,20:15,20:15,20:20,18:30,21:30,2,0,1.141710
2,16,C226,Khach_Hang_226,20:23,20:23,20:28,18:30,21:30,3,0,1.670726
2,17,C293,Khach_Hang_293,20:31,20:31,20:41,18:30,21:30,3,0,1.873462
2,18,C262,Khach_Hang_262,20:45,20:45,20:50,18:30,21:30,4,0,2.703743
2,19,C114,Khach_Hang_114,20:57,20:57,21:07,18:30,21:30,7,0,5.489958
2,20,C287,Khach_Hang_287,21:08,21:08,21:15,18:30,21:30,1,0,0.461805
2,21,C026,Khach_Hang_026,21:16,21:16,21:23,18:30,21:30,1,0,0.683235
3,1,C288,Khach_Hang_288,07:13,07:13,07:23,07:13,13:58,8,0,6.313857
3,2,C184,Khach_Hang_184,07:29,07:29,07:36,07:20,15:28,6,0,4.481604
3,3,C121,Khach_Hang_121,07:39,18:30,18:37,18:30,21:30,3,651,1.837862
3,4,C133,Khach_Hang_133,18:47,18:47,18:54,18:30,21:30,10,0,8.070291
3,5,C250,Khach_Hang_250,18:59,18:59,19:04,18:30,21:30,5,0,4.150636
3,6,C031,Khach_Hang_031,19:07,19:07,19:12,18:30,21:30,3,0,2.183508
3,7,C257,Khach_Hang_257,19:13,19:13,19:20,18:30,21:30,1,0,0.379199
3,8,C043,Khach_Hang_043,19:22,19:22,19:32,18:30,21:30,2,0,1.622617
