customer_id,customer_name,demand_kg,available_days
C002,Khach_Hang_002,0.6,2 5
C006,Khach_Hang_006,2.1,1 2 3 5
C007,Khach_Hang_007,3.8,2 4 5
C010,Khach_Hang_010,4.3,1 3 4 5
C015,Khach_Hang_015,2.0,2 3 4 5
C016,Khach_Hang_016,0.8,1 4
C030,Khach_Hang_030,4.5,1 2 4 5
C034,Khach_Hang_034,2.4,3 4 5
C038,Khach_Hang_038,0.8,1 3 4 5
C039,Khach_Hang_039,4.4,2 4
C041,Khach_Hang_041,3.1,3 5
C046,Khach_Hang_046,4.4,2 3 4
C048,Khach_Hang_048,1.2,1 4
C053,Khach_Hang_053,0.8,1 3
C055,Khach_Hang_055,0.9,1 2 4 5
C056,Khach_Hang_056,4.4,1 3 4
C059,Khach_Hang_059,1.6,1 2 3 4
C060,Khach_Hang_060,2.6,2 3 4
C061,Khach_Hang_061,5.0,1 3 5
C063,Khach_Hang_063,4.3,1 2 4 5
C069,Khach_Hang_069,4.2,2 3 4
C070,Khach_Hang_070,3.4,3 5
C071,Khach_Hang_071,3.7,1 2 3 4
C072,Khach_Hang_072,4.6,1 2 4 5
C073,Khach_Hang_073,1.1,1 2 3
C076,Khach_Hang_076,1.6,1 2 3 4 5
C077,Khach_Hang_077,2.0,1 2 4 5
C078,Khach_Hang_078,4.0,1 3 4
C081,Khach_Hang_081,4.4,1 4
C084,Khach_Hang_084,2.1,3 4 5
C085,Khach_Hang_085,1.0,1 2
C086,Khach_Hang_086,2.5,3 4 5
C091,Khach_Hang_091,2.4,2 3 4 5
C095,Khach_Hang_095,2.8,4 5
C096,Khach_Hang_096,2.8,4 5
C098,Khach_Hang_098,1.6,1 5
C101,Khach_Hang_101,4.0,3 4 5 6
C102,Khach_Hang_102,3.0,2 3
C115,Khach_Hang_115,2.5,1 3 4 5
C117,Khach_Hang_117,2.9,1 2 5
C119,Khach_Hang_119,2.0,1 2 5
C122,Khach_Hang_122,0.7,1 2 5
C124,Khach_Hang_124,3.0,2 3 4
C129,Khach_Hang_129,4.3,1 3 4 5
C130,Khach_Hang_130,4.0,2 5
C134,Khach_Hang_134,1.7,1 3 4
C143,Khach_Hang_143,3.6,1 4
C150,Khach_Hang_150,0.6,1 3 4 5
C151,Khach_Hang_151,3.0,1 2 3
C152,Khach_Hang_152,1.0,1 2 4
C154,Khach_Hang_154,1.0,1 3
C156,Khach_Hang_156,4.8,2 5
C158,Khach_Hang_158,2.5,1 4
C162,Khach_Hang_162,3.6,2 3
C166,Khach_Hang_166,4.2,1 3 4 5
C167,Khach_Hang_167,3.2,1 3 4 5
C171,Khach_Hang_171,4.8,1 3 5
C174,Khach_Hang_174,2.0,1 4 5
C175,Khach_Hang_175,1.8,1 2
C183,Khach_Hang_183,2.6,2 5
C192,Khach_Hang_192,3.7,3 5
C194,Khach_Hang_194,2.0,1 2 3 5
C203,Khach_Hang_203,3.0,2 5
C204,Khach_Hang_204,4.4,1 2 3 5
C214,Khach_Hang_214,1.6,1 4
C217,Khach_Hang_217,2.0,2 3 4 5
C218,Khach_Hang_218,4.4,1 3 4
C221,Khach_Hang_221,4.4,1 3 4 5
C223,Khach_Hang_223,2.5,1 2 3 4
C229,Khach_Hang_229,3.5,2 4
C231,Khach_Hang_231,3.3,2 3 7
C232,Khach_Hang_232,2.5,3 4 5
C233,Khach_Hang_233,2.2,1 5
C235,Khach_Hang_235,3.4,1 2 3 4 5
C236,Khach_Hang_236,1.6,1 2 3 5
C238,Khach_Hang_238,4.0,2 3
C239,Khach_Hang_239,4.9,1 3 4 5
C241,Khach_Hang_241,3.1,1 3 4 5
C242,Khach_Hang_242,3.8,3 4 5
C243,Khach_Hang_243,2.5,1 4 5
C245,Khach_Hang_245,2.8,2 3
C255,Khach_Hang_255,0.9,1 2 4 5
C260,Khach_Hang_260,4.3,1 2 3 4
C265,Khach_Hang_265,0.8,1 3 4
C268,Khach_Hang_268,1.2,1 5
C269,Khach_Hang_269,2.5,2 3
C271,Khach_Hang_271,1.8,2 3 4 5
C275,Khach_Hang_275,2.2,3 4 6
C276,Khach_Hang_276,4.1,1 2 5
C278,Khach_Hang_278,3.7,2 4
C283,Khach_Hang_283,2.9,1 3 4
C285,Khach_Hang_285,1.7,3 4
C289,Khach_Hang_289,2.6,1 4
C291,Khach_Hang_291,0.7,1 2 4 5
C294,Khach_Hang_294,3.4,1 2 4 5
C295,Khach_Hang_295,4.8,2 5
C296,Khach_Hang_296,0.9,1 3 5
C297,Khach_Hang_297,2.5,1 3 4 5
C300,Khach_Hang_300,2.0,2 4 5
