day,stop_order,customer_id,customer_name,arrival_time,service_start_time,service_end_time,selected_window_start,selected_window_end,travel_from_previous_min,waiting_min,distance_from_previous_km
1,1,C178,Khach_Hang_178,07:23,07:23,07:33,07:23,15:06,23,0,18.604401
1,2,C179,Khach_Hang_179,07:48,07:48,07:53,07:21,15:28,15,0,11.689028
1,3,C005,Khach_Hang_005,07:54,07:54,08:01,07:54,15:21,1,0,0.535270
1,4,C187,Khach_Hang_187,08:04,08:04,08:14,08:03,17:05,3,0,2.315307
1,5,C175,Khach_Hang_175,08:37,08:37,08:44,08:30,11:30,23,0,19.096492
1,6,C106,Khach_Hang_106,08:52,08:52,08:59,07:20,14:48,8,0,5.874431
1,7,C288,Khach_Hang_288,09:08,09:08,09:18,09:08,18:00,9,0,7.027971
1,8,C148,Khach_Hang_148,09:24,09:24,09:34,08:44,15:22,6,0,4.725639
1,9,C055,Khach_Hang_055,09:37,09:37,09:42,08:30,11:30,3,0,2.350091
1,10,C017,Khach_Hang_017,09:43,09:43,09:53,07:57,14:04,1,0,0.178321
1,11,C224,Khach_Hang_224,09:54,09:54,10:04,09:52,16:26,1,0,0.231463
1,12,C218,Khach_Hang_218,10:05,10:05,10:12,08:30,11:30,1,0,0.733176
1,13,C294,Khach_Hang_294,10:13,10:13,10:20,08:30,11:30,1,0,0.209773
1,14,C053,Khach_Hang_053,10:21,10:21,10:28,08:30,11:30,1,0,0.545959
1,15,C276,Khach_Hang_276,10:29,10:29,10:34,08:30,11:30,1,0,0.538835
1,16,C297,Khach_Hang_297,10:36,10:36,10:43,08:30,11:30,2,0,1.476715
1,17,C122,Khach_Hang_122,10:45,10:45,10:50,08:30,11:30,2,0,0.937365
1,18,C194,Khach_Hang_194,10:51,10:51,10:56,08:30,11:30,1,0,0.528612
1,19,C205,Khach_Hang_205,10:57,10:57,11:04,09:52,17:59,1,0,0.693376
1,20,C204,Khach_Hang_204,11:05,11:05,11:15,08:30,11:30,1,0,0.660060
1,21,C134,Khach_Hang_134,11:18,11:18,11:28,08:30,11:30,3,0,2.355726
1,22,C182,Khach_Hang_182,11:29,11:29,11:36,07:45,17:42,1,0,0.478985
1,23,C249,Khach_Hang_249,11:37,11:37,11:47,08:49,18:20,1,0,0.759641
1,24,C184,Khach_Hang_184,11:58,11:58,12:05,09:56,19:01,11,0,9.145276
1,25,C033,Khach_Hang_033,12:17,12:17,12:27,09:34,19:04,12,0,9.446265
1,26,C112,Khach_Hang_112,12:31,12:31,12:41,09:25,17:59,4,0,2.590798
1,27,C251,Khach_Hang_251,12:43,12:43,12:53,07:04,13:35,2,0,1.104867
1,28,C222,Khach_Hang_222,13:06,13:06,13:13,09:51,19:31,13,0,10.274860
