day,stop_order,customer_id,customer_name,arrival_time,service_start_time,service_end_time,selected_window_start,selected_window_end,travel_from_previous_min,waiting_min,distance_from_previous_km
1,1,C251,Khach_Hang_251,00:17,07:04,07:14,07:04,13:35,17,407,14.140327
1,2,C254,Khach_Hang_254,07:45,07:54,08:01,07:54,15:56,31,9,25.269290
1,3,C073,Khach_Hang_073,08:06,08:30,08:37,08:30,11:30,5,24,3.954995
1,4,C247,Khach_Hang_247,08:55,08:55,09:00,08:30,11:30,18,0,14.446740
1,5,C154,Khach_Hang_154,09:04,09:04,09:09,08:30,11:30,4,0,3.302869
1,6,C174,Khach_Hang_174,09:13,09:13,09:23,08:30,11:30,4,0,2.787366
1,7,C179,Khach_Hang_179,09:24,09:24,09:29,07:21,15:28,1,0,0.457708
1,8,C143,Khach_Hang_143,09:31,09:31,09:38,08:30,11:30,2,0,0.951699
1,9,C119,Khach_Hang_119,09:42,09:42,09:49,08:30,11:30,4,0,2.998175
1,10,C152,Khach_Hang_152,09:53,09:53,09:58,08:30,11:30,4,0,2.975604
1,11,C243,Khach_Hang_243,09:59,09:59,10:06,08:30,11:30,1,0,0.729937
1,12,C081,Khach_Hang_081,10:08,10:08,10:15,08:30,11:30,2,0,1.575708
1,13,C265,Khach_Hang_265,10:16,10:16,10:26,08:30,11:30,1,0,0.544775
1,14,C158,Khach_Hang_158,10:28,10:28,10:35,08:30,11:30,2,0,1.561900
1,15,C166,Khach_Hang_166,10:37,10:37,10:42,08:30,11:30,2,0,1.171639
1,16,C178,Khach_Hang_178,10:52,10:52,11:02,07:23,15:06,10,0,7.610986
1,17,C283,Khach_Hang_283,11:08,11:08,11:13,08:30,11:30,6,0,4.650238
1,18,C098,Khach_Hang_098,11:16,11:16,11:23,08:30,11:30,3,0,2.279121
1,19,C151,Khach_Hang_151,11:26,11:26,11:36,08:30,11:30,3,0,2.473740
1,20,C215,Khach_Hang_215,11:39,11:39,11:49,08:19,15:46,3,0,1.762965
1,21,C052,Khach_Hang_052,11:50,11:50,11:55,09:21,17:47,1,0,0.748186
1,22,C032,Khach_Hang_032,11:57,11:57,12:07,08:52,18:41,2,0,0.958747
1,23,C107,Khach_Hang_107,12:31,12:31,12:38,07:12,16:03,24,0,19.501111
1,24,C144,Khach_Hang_144,12:40,12:40,12:47,07:59,16:17,2,0,1.108068
1,25,C206,Khach_Hang_206,12:49,12:49,12:56,08:54,17:27,2,0,1.502383
1,26,C075,Khach_Hang_075,13:18,13:18,13:28,08:23,18:22,22,0,17.987884
1,27,C038,Khach_Hang_038,13:30,13:30,13:40,13:30,17:00,2,0,1.353630
1,28,C078,Khach_Hang_078,13:53,13:53,13:58,09:32,19:17,13,0,10.114567
1,29,C016,Khach_Hang_016,14:05,14:05,14:15,13:30,17:00,7,0,5.589669
1,30,C171,Khach_Hang_171,14:24,14:24,14:34,13:30,17:00,9,0,7.362717
